"Location","Symbol","Year","Parameter","Month","Value"
"Mirpur Bridge","L1",2010,"pH","January",6.8
"Mirpur Bridge","L1",2010,"pH","February",7.2
"Mirpur Bridge","L1",2010,"pH","March",7.6
"Mirpur Bridge","L1",2010,"pH","April",7.5
"Mirpur Bridge","L1",2010,"pH","May",7.8
"Mirpur Bridge","L1",2010,"pH","June",7.6
"Mirpur Bridge","L1",2010,"pH","July",7.8
"Mirpur Bridge","L1",2010,"pH","August",6.3
"Mirpur Bridge","L1",2010,"pH","September",6.5
"Mirpur Bridge","L1",2010,"pH","October",6.9
"Mirpur Bridge","L1",2010,"pH","November",7.3
"Mirpur Bridge","L1",2010,"pH","December",7.2
"Mirpur Bridge","L1",2011,"pH","January",6.9
"Mirpur Bridge","L1",2011,"pH","February",7.3
"Mirpur Bridge","L1",2011,"pH","March",7.5
"Mirpur Bridge","L1",2011,"pH","April",7.4
"Mirpur Bridge","L1",2011,"pH","May",7.5
"Mirpur Bridge","L1",2011,"pH","June",7.5
"Mirpur Bridge","L1",2011,"pH","July",7.9
"Mirpur Bridge","L1",2011,"pH","August",6.4
"Mirpur Bridge","L1",2011,"pH","September",6.2
"Mirpur Bridge","L1",2011,"pH","October",6.4
"Mirpur Bridge","L1",2011,"pH","November",7.21
"Mirpur Bridge","L1",2011,"pH","December",7.21
"Mirpur Bridge","L1",2012,"pH","January",7.4
"Mirpur Bridge","L1",2012,"pH","February",7.1
"Mirpur Bridge","L1",2012,"pH","March",7.8
"Mirpur Bridge","L1",2012,"pH","April",7.7
"Mirpur Bridge","L1",2012,"pH","May",7.6
"Mirpur Bridge","L1",2012,"pH","June",7.8
"Mirpur Bridge","L1",2012,"pH","July",6.83
"Mirpur Bridge","L1",2012,"pH","August",7.4
"Mirpur Bridge","L1",2012,"pH","September",7.9
"Mirpur Bridge","L1",2012,"pH","October",7.8
"Mirpur Bridge","L1",2012,"pH","November",7.64
"Mirpur Bridge","L1",2012,"pH","December",7.53
"Mirpur Bridge","L1",2013,"pH","January",7.2
"Mirpur Bridge","L1",2013,"pH","February",7.5
"Mirpur Bridge","L1",2013,"pH","March",7.87
"Mirpur Bridge","L1",2013,"pH","April",7.2
"Mirpur Bridge","L1",2013,"pH","May",7.28
"Mirpur Bridge","L1",2013,"pH","June",7.5
"Mirpur Bridge","L1",2013,"pH","July",5.36
"Mirpur Bridge","L1",2013,"pH","August",7.8
"Mirpur Bridge","L1",2013,"pH","September",7.56
"Mirpur Bridge","L1",2013,"pH","October",7.36
"Mirpur Bridge","L1",2013,"pH","November",7.9
"Mirpur Bridge","L1",2013,"pH","December",7.5
"Mirpur Bridge","L1",2014,"pH","January",7.43
"Mirpur Bridge","L1",2014,"pH","February",7.36
"Mirpur Bridge","L1",2014,"pH","March",7.05
"Mirpur Bridge","L1",2014,"pH","April",7.31
"Mirpur Bridge","L1",2014,"pH","May",7.6
"Mirpur Bridge","L1",2014,"pH","June",7.45
"Mirpur Bridge","L1",2014,"pH","July",6.69
"Mirpur Bridge","L1",2014,"pH","August",7.36
"Mirpur Bridge","L1",2014,"pH","September",7.66
"Mirpur Bridge","L1",2014,"pH","October",7.64
"Mirpur Bridge","L1",2014,"pH","November",6.89
"Mirpur Bridge","L1",2014,"pH","December",7.43
"Mirpur Bridge","L1",2015,"pH","January",7.46
"Mirpur Bridge","L1",2015,"pH","February",7.35
"Mirpur Bridge","L1",2015,"pH","March",7.52
"Mirpur Bridge","L1",2015,"pH","April",7.45
"Mirpur Bridge","L1",2015,"pH","May",6.93
"Mirpur Bridge","L1",2015,"pH","June",7.24
"Mirpur Bridge","L1",2015,"pH","July",7.07
"Mirpur Bridge","L1",2015,"pH","August",7.15
"Mirpur Bridge","L1",2015,"pH","September",7.22
"Mirpur Bridge","L1",2015,"pH","October",6.99
"Mirpur Bridge","L1",2015,"pH","November",7.98
"Mirpur Bridge","L1",2015,"pH","December",7.4
"Mirpur Bridge","L1",2016,"pH","January",7.9
"Mirpur Bridge","L1",2016,"pH","February",7.5
"Mirpur Bridge","L1",2016,"pH","March",7.4
"Mirpur Bridge","L1",2016,"pH","April",7.4
"Mirpur Bridge","L1",2016,"pH","May",6.92
"Mirpur Bridge","L1",2016,"pH","June",7.5
"Mirpur Bridge","L1",2016,"pH","July",7.6
"Mirpur Bridge","L1",2016,"pH","August",7.12
"Mirpur Bridge","L1",2016,"pH","September",7.2
"Mirpur Bridge","L1",2016,"pH","October",7
"Mirpur Bridge","L1",2016,"pH","November",7.8
"Mirpur Bridge","L1",2016,"pH","December",7.5
"Mirpur Bridge","L1",2017,"pH","January",7.74
"Mirpur Bridge","L1",2017,"pH","February",7.14
"Mirpur Bridge","L1",2017,"pH","March",7.31
"Mirpur Bridge","L1",2017,"pH","April",6.72
"Mirpur Bridge","L1",2017,"pH","May",7.55
"Mirpur Bridge","L1",2017,"pH","June",7.55
"Mirpur Bridge","L1",2017,"pH","July",7.89
"Mirpur Bridge","L1",2017,"pH","August",7.89
"Mirpur Bridge","L1",2017,"pH","September",7.58
"Mirpur Bridge","L1",2017,"pH","October",7.93
"Mirpur Bridge","L1",2017,"pH","November",7.13
"Mirpur Bridge","L1",2017,"pH","December",7.4
"Mirpur Bridge","L1",2018,"pH","January",7.9
"Mirpur Bridge","L1",2018,"pH","February",7.5
"Mirpur Bridge","L1",2018,"pH","March",7.25
"Mirpur Bridge","L1",2018,"pH","April",6.5
"Mirpur Bridge","L1",2018,"pH","May",7.52
"Mirpur Bridge","L1",2018,"pH","June",7.63
"Mirpur Bridge","L1",2018,"pH","July",7.8
"Mirpur Bridge","L1",2018,"pH","August",7.62
